номер;город
1;Москва и Московская область
2;Санкт-Петербург
3;Центральный федеральный округ
4;Белгород
5;Иваново
6;Калуга
7;Кострома
8;Курск
9;Липецк
10;Орёл
11;Рязань
12;Смоленск
13;Тамбов
14;Тверь
15;Тула
16;Ярославль
17;Северо-Западный федеральный округ
18;Петрозаводск
19;Сыктывкар
20;Архангельск
21;Вологда
22;Калининград
23;Мурманск
24;Великий Новгород
25;Псков
26;Южный федеральный округ
28;Махачкала
30;Нальчик
33;Владикавказ
35;Краснодар
36;Ставрополь
37;Астрахань
38;Волгоград
39;Ростов-на-Дону
40;Приволжский федеральный округ
41;Йошкар-Ола
42;Саранск
43;Казань
44;Ижевск
45;Чебоксары
46;Киров
47;Нижний Новгород
48;Оренбург
49;Пенза
50;Пермь
51;Самара
52;Уральский федеральный округ
53;Курган
54;Екатеринбург
55;Тюмень
56;Челябинск
57;Ханты-Мансийск
58;Салехард
59;Сибирский федеральный округ
62;Красноярск
63;Иркутск
64;Кемерово
65;Новосибирск
66;Омск
67;Томск
68;Чита
73;Дальневосточный федеральный округ
74;Якутск
75;Владивосток
76;Хабаровск
77;Благовещенск
78;Петропавловск-Камчатский
79;Магадан
80;Южно-Сахалинск
84;США
86;Атланта
87;Вашингтон
89;Детройт
90;Сан-Франциско
91;Сиэтл
93;Аргентина
94;Бразилия
95;Канада
96;Германия
97;Хайдельберг
98;Кельн
99;Мюнхен
100;Франкфурт-на-Майне
101;Штутгарт
102;Великобритания
111;Европа
113;Австрия
114;Бельгия
115;Болгария
116;Венгрия
117;Литва
118;Нидерланды
119;Норвегия
120;Польша
121;Словакия
122;Словения
123;Финляндия
124;Франция
125;Чехия
126;Швейцария
127;Швеция
129;Беэр-Шева
130;Иерусалим
131;Тель-Авив
132;Хайфа
134;Китай
135;Южная Корея
137;Япония
138;Австралия и Океания
139;Новая Зеландия
141;Днепропетровск
142;Донецк
143;Киев
144;Львов
145;Одесса
146;Симферополь
147;Харьков
148;Николаев
149;Беларусь
153;Брест
154;Витебск
155;Гомель
157;Минск
158;Могилёв
159;Казахстан
162;Алматы
163;Астана
164;Караганда
165;Семей
166;СНГ
167;Азербайджан
168;Армения
169;Грузия
170;Туркмения
171;Узбекистан
172;Уфа
177;Берлин
178;Гамбург
179;Эстония
180;Сербия
181;Израиль
183;Азия
187;Украина
190;Павлодар
191;Брянск
192;Владимир
193;Воронеж
194;Саратов
195;Ульяновск
197;Барнаул
198;Улан-Удэ
200;Лос-Анджелес
202;Нью-Йорк
203;Дания
204;Испания
205;Италия
206;Латвия
207;Киргизия
208;Молдова
209;Таджикистан
210;Объединённые Арабские Эмираты
211;Австралия
213;Москва
214;Долгопрудный
215;Дубна
216;Зеленоград
217;Пущино
219;Черноголовка
221;Шымкент
222;Луганск
223;Бостон
225;Россия
235;Магнитогорск
236;Набережные Челны
237;Новокузнецк
238;Новочеркасск
239;Сочи
240;Тольятти
241;Африка
245;Арктика и Антарктика
246;Греция
318;Универсальное
349;Другие города региона
350;Универсальное
381;Прочее
382;Общероссийские
413;Другие города региона
414;Универсальное
445;Другие города региона
446;Универсальное
477;Другие города региона
478;Универсальное
509;Другие города региона
510;Универсальное
541;Другие города региона
542;Универсальное
573;Другие города региона
574;Универсальное
605;Прочее
606;Универсальное
637;Прочее
638;Универсальное
669;Прочее
670;Универсальное
701;Прочее
702;Универсальное
733;Прочее
734;Универсальное
765;Прочее
766;Универсальное
797;Прочее
798;Универсальное
829;Прочее
830;Универсальное
861;Прочее
862;Универсальное
893;Прочее
894;Универсальное
925;Прочее
926;Универсальное
957;Прочее
958;Универсальное
959;Севастополь
960;Запорожье
961;Хмельницкий
962;Херсон
963;Винница
964;Полтава
965;Сумы
966;Чернигов
967;Обнинск
968;Череповец
969;Выборг
970;Новороссийск
971;Таганрог
972;Дзержинск
973;Сургут
974;Находка
975;Бийск
976;Братск
977;Республика Крым
978;Прочее
979;Универсальное
980;Страны Балтии
981;Прочее
982;Универсальное
983;Турция
994;Индия
995;Таиланд
1004;Ближний Восток
1048;Прочее
1049;Универсальное
1054;Прочее
1055;Универсальное
1056;Египет
1058;Туапсе
1091;Нижневартовск
1092;Назрань
1093;Майкоп
1094;Элиста
1095;Абакан
