КОД СКАД;Почтовый Индекс;Месяц визита Группа пилота;Субъект РФ;Город / Нас.пункт;Улица;тип улицы;Дом;Корпус / строение;Торговая площадь;Как найти?;ТЦ/Стрит;Код точки АМДОКС;ПН. Начало р/д;ПН . Конец р/д;ВТ. Начало работы ;ВТ . Конец р/д;СР. Начало работы ;СР . Конец р/д;ЧТ Начало работы ;ЧТ . Конец р/д;ПТ. Начало работы ;ПТ . Конец р/д;СУБ. Начало работы ;СУБ . Конец р/д;ВОСКР. Начало работы ;ВОСКР . Конец р/д;ЧТ Начало работы ;ЧТ . Конец р/д;ПТ. Начало работы ;ПТ . Конец р/д;СУБ. Начало работы ;СУБ . Конец р/д;ВОСКР. Начало работы ;ВОСКР . Конец р/д;;GPS. Широта;GPS. Долгота
774268;670000;1;Республика Бурятия;Улан-Удэ;Балтахинова;улица;15;помещение LXVIII;"15,4";;ТЦ;7L72000;"0,416666667";"0,833333333";"0,416666667";"0,833333333";"0,416666667";"0,833333333";"0,416666667";"0,833333333";10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;;51.826535;107.589608
758379;670000;1;Республика Бурятия;Улан-Удэ;Ленина;улица;39;_;"31,35";ТЦ "Форум";ТЦ;WC04000;"0,416666667";"0,916666667";"0,416666667";"0,916666667";"0,416666667";"0,916666667";"0,416666667";"0,916666667";10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;;51.831067;107.583938
567158;670033;2;Республика Бурятия;Улан-Удэ;Жердева;улица;104;Б;23;Торговый центр "пиплз парк" на 1 этаже.;ТЦ;U500003;"0,416666667";"0,916666667";"0,416666667";"0,916666667";"0,416666667";"0,916666667";"0,416666667";"0,916666667";10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;;51.811957;107.663108
567002;670031;2;Республика Бурятия;Улан-Удэ;Терешковой;улица;20;Б;"24,5";ул. Терешковой 20б (остановка "Саяны");Стрит;U500001;"0,375";"0,791666667";"0,375";"0,791666667";"0,375";"0,791666667";"0,375";"0,791666667";9:00:00;19:00:00;9:00:00;19:00:00;9:00:00;19:00:00;9:00:00;19:00:00;9:00:00;19:00:00;9:00:00;19:00:00;9:00:00;19:00:00;;51.809325;107.607379
776216;664017;1;Иркутская область;Иркутск;Академическая;улица;2;а;"18,7";;Стрит;7L89000;"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;;52.233915;104.285861
767998;664043;1;Иркутская область;Иркутск;Рябикова;бульвар;5;Б;"20,8";Рябикова 8А/1;Стрит;7W23000;"0,375";"0,875";"0,375";"0,875";"0,375";"0,875";"0,375";"0,875";9:00:00;21:00:00;9:00:00;21:00:00;9:00:00;21:00:00;9:00:00;21:00:00;9:00:00;21:00:00;9:00:00;21:00:00;9:00:00;21:00:00;;52.26504;104.206837
777452;664053;2;Иркутская область;Иркутск;Розы Люксембург;улица;293;_;"35,1";;Стрит;7L76000;"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;;52.355091;104.15477
698865;664040;2;Иркутская область;Иркутск;Розы Люксембург;улица;217;А;"15,4";;Стрит;Y000015;"0,375";"0,875";"0,375";"0,875";"0,375";"0,875";"0,375";"0,875";9:00:00;21:00:00;9:00:00;21:00:00;9:00:00;21:00:00;9:00:00;21:00:00;9:00:00;21:00:00;9:00:00;21:00:00;9:00:00;21:00:00;;52.35054;104.173752
778814;683003;1;Камчатский край;Петропавловск-Камчатский;Ленинградская;улица;74;_;"30,8";;Стрит;7W03000;"0,416666667";"0,833333333";"0,416666667";"0,833333333";"0,416666667";"0,833333333";"0,416666667";"0,833333333";10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;;53.036678;158.656226
778754;683013;1;Камчатский край;Петропавловск-Камчатский;Океанская;улица;121/2.;_;"31,9";;Стрит;7M30000;"0,385416667";"0,791666667";"0,385416667";"0,791666667";"0,385416667";"0,791666667";"0,385416667";"0,791666667";9:15:00;19:00:00;9:15:00;19:00:00;9:15:00;19:00:00;9:15:00;19:00:00;9:15:00;19:00:00;9:15:00;19:00:00;9:15:00;19:00:00;;52.982021;158.681005
918104;683902;2;Камчатский край;Петропавловск-Камчатский;Победы;проспект;63;А;"20,5";;Стрит;VM62000;"0,416666667";"0,875";"0,416666667";"0,875";"0,416666667";"0,875";"0,416666667";"0,875";10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;;53.071117;158.59212
1028160;683000;2;Камчатский край;Петропавловск-Камчатский;50 лет Октября;проспект;16;1;"26,6";ТЦ Парус;ТЦ;VO27000;"0,416666667";"0,833333333";"0,416666667";"0,833333333";"0,416666667";"0,833333333";"0,416666667";"0,833333333";10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;;53.056988;158.635059
774940;690014;1;Приморский край;Владивосток;Красного Знамени;проспект;121;_;59;;Стрит;7W33000;"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;;43.124835;131.920496
777448;690092;1;Приморский край;Владивосток;Добровольского;улица;5;_;"21,8";;Стрит;7W30000;"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;;43.092097;131.973011
793227;690012;2;Приморский край;Владивосток;Калинина;улица;6;_;"36,8";ТЦ Калина Молл;ТЦ;WC11000;"0,416666667";"0,916666667";"0,416666667";"0,916666667";"0,416666667";"0,916666667";"0,416666667";"0,916666667";10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;;43.102055;131.917305
751250;690041;2;Приморский край;Владивосток;Пихтовая;улица;4;А;"19,4";;Стрит;WA08000;"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;;43.100829;131.894893
780429;681000;1;Хабаровский край;Комсомольск-на-Амуре;Мира;проспект;44;пом. 1001;"71,5";;Стрит;7W00000;"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;;50.554414;137.01476
361979;681000;1;Хабаровский край;Комсомольск-на-Амуре;Октябрьский;проспект;29;_;"65,5";;Стрит;N250000;"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;;50.544769;137.010006
560890;681014;2;Хабаровский край;Комсомольск-на-Амуре;Победы;проспект;22;корп. 7;46;;Стрит;N250004;"0,416666667";"0,791666667";"0,416666667";"0,791666667";"0,416666667";"0,791666667";"0,416666667";"0,791666667";10:00:00;19:00:00;10:00:00;19:00:00;Выходной;Выходной;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;Выходной;Выходной;;50.589537;137.060506
639606;681010;2;Хабаровский край;Комсомольск-на-Амуре;Вокзальная;улица;43;_;54;;Стрит;N250008;"0,416666667";"0,791666667";"0,416666667";"0,791666667";"0,416666667";"0,791666667";"0,416666667";"0,791666667";10:00:00;19:00:00;Выходной;Выходной;Выходной;Выходной;10:00:00;19:00:00;10:00:00;19:00:00;Выходной;Выходной;Выходной;Выходной;;50.547711;136.991091
773117;680021;1;Хабаровский край;Хабаровск;Амурский;бульвар;66;_;"38,7";;Стрит;7V96000;"0,375";"0,791666667";"0,375";"0,791666667";"0,375";"0,791666667";"0,375";"0,791666667";9:00:00;19:00:00;9:00:00;19:00:00;9:00:00;19:00:00;9:00:00;19:00:00;9:00:00;19:00:00;9:00:00;19:00:00;9:00:00;19:00:00;;48.49474;135.072873
778816;680000;1;Хабаровский край;Хабаровск;Льва Толстого;улица;19;_;"12,4";;Стрит;WJ81000;"0,375";"0,75";"0,375";"0,75";"0,375";"0,75";"0,375";"0,75";9:00:00;18:00:00;9:00:00;18:00:00;9:00:00;18:00:00;9:00:00;18:00:00;9:00:00;18:00:00;9:00:00;18:00:00;9:00:00;18:00:00;;48.485476;135.067298
561636;680021;2;Хабаровский край;Хабаровск;Льва Толстого;улица;22;_;15;"павильон на Центральном рынке. пересечение Льва Толстого и Амурского Бульвара по правой стороне при движении от Амура. Рядом с ООО Дружба, Ювелирная мастерская.";Стрит;2250006;"0,375";"0,791666667";"0,375";"0,791666667";"0,375";"0,791666667";"0,375";"0,791666667";9:00:00;19:00:00;9:00:00;19:00:00;9:00:00;19:00:00;9:00:00;19:00:00;9:00:00;19:00:00;9:00:00;19:00:00;9:00:00;19:00:00;;48.487939;135.069283
778326;680054;2;Хабаровский край;Хабаровск;Тихоокеанская;улица;-;_;"41,5";;Стрит;7L75000;"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;;48.543866;135.041406
777449;677013;1;Республика Саха /Якутия/;Якутск;Ойунского;улица;23;_;"34,9";;ТЦ;7M46000;"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;;62.021395;129.706495
778445;677005;1;Республика Саха /Якутия/;Якутск;Лермонтова;улица;62;корп. 2;"33,9";;Стрит;7M35000;"0,416666667";"0,833333333";"0,416666667";"0,833333333";"0,416666667";"0,833333333";"0,416666667";"0,833333333";10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;;62.037266;129.718775
777416;677000;2;Республика Саха /Якутия/;Якутск;Ленина;переулок;23;_;"23,3";;Стрит;7W38000;"0,416666667";"0,791666667";"0,416666667";"0,791666667";"0,416666667";"0,791666667";"0,416666667";"0,791666667";10:00:00;19:00:00;Выходной;Выходной;Выходной;Выходной;10:00:00;19:00:00;10:00:00;19:00:00;Выходной;Выходной;Выходной;Выходной;;62.032488;129.744413
711603;677009;2;Республика Саха /Якутия/;Якутск;Дзержинского;квартал;52;_;"16,6";;Стрит;U875009;"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;;62.060711;129.741329
1024153;677014;1;Республика Саха /Якутия/;Якутск;Автострада 50 лет Октября;улица;6;_;"37,2";ТЦ УрасаМолл;ТЦ;VO14000;"0,416666667";"0,833333333";"0,416666667";"0,833333333";"0,416666667";"0,833333333";"0,416666667";"0,833333333";10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;;62.068205;129.742787
711604;677000;1;Республика Саха /Якутия/;Якутск;Ленина;проспект;9;_;"29,9";;Стрит;U875010;"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;;62.03221;129.74281
372824;677027;2;Республика Саха /Якутия/;Якутск;Ойунского;улица;3;_;"70,5";"Салон находится в р-не Автовокзала, в здании делового центра.";Стрит;U875000;"0,375";"0,8125";"0,375";"0,8125";"0,375";"0,8125";"0,375";"0,8125";9:00:00;19:30:00;9:00:00;19:30:00;9:00:00;19:30:00;9:00:00;19:30:00;9:00:00;19:30:00;9:00:00;19:30:00;9:00:00;19:30:00;;62.027203;129.715977
778783;677000;2;Республика Саха /Якутия/;Якутск;Ленина;проспект;14;_;"51,5";;Стрит;7G11000;"0,416666667";"0,791666667";"0,416666667";"0,791666667";"0,416666667";"0,791666667";"0,416666667";"0,791666667";10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;;62.030724;129.737931
772345;163069;1;Архангельская область;Архангельск;Троицкий;проспект;-;_;"41,2";;ТЦ;7M49000;"0,416666667";"0,875";"0,416666667";"0,875";"0,416666667";"0,875";"0,416666667";"0,875";10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;;64.532377;40.528734
363098;163000;1;Архангельская область;Архангельск;Ломоносова;проспект;142;_;88;Рядом ресторан "Шеш-беш" и букмекерская контора.;Стрит;9875001;"0,375";"0,875";"0,375";"0,875";"0,375";"0,875";"0,375";"0,875";9:00:00;21:00:00;9:00:00;21:00:00;9:00:00;21:00:00;9:00:00;21:00:00;9:00:00;21:00:00;9:00:00;21:00:00;9:00:00;21:00:00;;64.539266;40.526344
661547;163000;2;Архангельская область;Архангельск;Воскресенская;улица;20;_;"30,5";;ТЦ;9875018;"0,416666667";"0,875";"0,416666667";"0,875";"0,416666667";"0,875";"0,416666667";"0,875";10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;;64.542035;40.534404
1013127;163062;2;Архангельская область;Архангельск;Ленинградский;проспект;255;_;"28,1";ТЦ Петромост;ТЦ;VN77000;"0,375";"0,875";"0,375";"0,875";"0,375";"0,875";"0,375";"0,875";9:00:00;21:00:00;9:00:00;21:00:00;9:00:00;21:00:00;9:00:00;21:00:00;9:00:00;21:00:00;9:00:00;21:00:00;9:00:00;21:00:00;;64.510339;40.663894
541875;600028;1;Владимирская область;Владимир;Строителей;проспект;46;_;36;Остановка "ул.Красноармейская";Стрит;2930008;"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";"0,375";"0,833333333";9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;9:00:00;20:00:00;;56.132975;40.357826
