,index,Город / Нас.пункт,GPS. Широта,GPS. Долгота,номер,город,links
0,0,улан_удэ,51.826535,107.589608,198,Улан-Удэ,"['https://yandex.ru/maps/198/ulan_ude/search/DNS/?ll=107.589608,51.826535&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/198/ulan_ude/search/m_video/?ll=107.589608,51.826535&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/198/ulan_ude/search/megafon/?ll=107.589608,51.826535&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/198/ulan_ude/search/mts/?ll=107.589608,51.826535&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/198/ulan_ude/search/svyaznoy/?ll=107.589608,51.826535&rspn=1&spn=0.003,0.003']"
1,1,улан_удэ,51.831067,107.583938,198,Улан-Удэ,"['https://yandex.ru/maps/198/ulan_ude/search/DNS/?ll=107.583938,51.831067&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/198/ulan_ude/search/m_video/?ll=107.583938,51.831067&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/198/ulan_ude/search/megafon/?ll=107.583938,51.831067&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/198/ulan_ude/search/mts/?ll=107.583938,51.831067&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/198/ulan_ude/search/svyaznoy/?ll=107.583938,51.831067&rspn=1&spn=0.003,0.003']"
2,2,улан_удэ,51.811957,107.663108,198,Улан-Удэ,"['https://yandex.ru/maps/198/ulan_ude/search/DNS/?ll=107.663108,51.811957&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/198/ulan_ude/search/m_video/?ll=107.663108,51.811957&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/198/ulan_ude/search/megafon/?ll=107.663108,51.811957&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/198/ulan_ude/search/mts/?ll=107.663108,51.811957&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/198/ulan_ude/search/svyaznoy/?ll=107.663108,51.811957&rspn=1&spn=0.003,0.003']"
3,3,улан_удэ,51.809325,107.607379,198,Улан-Удэ,"['https://yandex.ru/maps/198/ulan_ude/search/DNS/?ll=107.607379,51.809325&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/198/ulan_ude/search/m_video/?ll=107.607379,51.809325&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/198/ulan_ude/search/megafon/?ll=107.607379,51.809325&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/198/ulan_ude/search/mts/?ll=107.607379,51.809325&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/198/ulan_ude/search/svyaznoy/?ll=107.607379,51.809325&rspn=1&spn=0.003,0.003']"
4,4,иркутск,52.233915,104.285861,63,Иркутск,"['https://yandex.ru/maps/63/irkutsk/search/DNS/?ll=104.285861,52.233915&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/63/irkutsk/search/m_video/?ll=104.285861,52.233915&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/63/irkutsk/search/megafon/?ll=104.285861,52.233915&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/63/irkutsk/search/mts/?ll=104.285861,52.233915&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/63/irkutsk/search/svyaznoy/?ll=104.285861,52.233915&rspn=1&spn=0.003,0.003']"
5,5,иркутск,52.26504,104.206837,63,Иркутск,"['https://yandex.ru/maps/63/irkutsk/search/DNS/?ll=104.206837,52.26504&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/63/irkutsk/search/m_video/?ll=104.206837,52.26504&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/63/irkutsk/search/megafon/?ll=104.206837,52.26504&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/63/irkutsk/search/mts/?ll=104.206837,52.26504&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/63/irkutsk/search/svyaznoy/?ll=104.206837,52.26504&rspn=1&spn=0.003,0.003']"
6,6,иркутск,52.355091,104.15477,63,Иркутск,"['https://yandex.ru/maps/63/irkutsk/search/DNS/?ll=104.15477,52.355091&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/63/irkutsk/search/m_video/?ll=104.15477,52.355091&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/63/irkutsk/search/megafon/?ll=104.15477,52.355091&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/63/irkutsk/search/mts/?ll=104.15477,52.355091&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/63/irkutsk/search/svyaznoy/?ll=104.15477,52.355091&rspn=1&spn=0.003,0.003']"
7,7,иркутск,52.35054,104.173752,63,Иркутск,"['https://yandex.ru/maps/63/irkutsk/search/DNS/?ll=104.173752,52.35054&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/63/irkutsk/search/m_video/?ll=104.173752,52.35054&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/63/irkutsk/search/megafon/?ll=104.173752,52.35054&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/63/irkutsk/search/mts/?ll=104.173752,52.35054&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/63/irkutsk/search/svyaznoy/?ll=104.173752,52.35054&rspn=1&spn=0.003,0.003']"
8,8,петропавловск_камчатский,53.036678,158.656226,78,Петропавловск-Камчатский,"['https://yandex.ru/maps/78/petropavlovsk_kamchatskij/search/DNS/?ll=158.656226,53.036678&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/78/petropavlovsk_kamchatskij/search/m_video/?ll=158.656226,53.036678&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/78/petropavlovsk_kamchatskij/search/megafon/?ll=158.656226,53.036678&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/78/petropavlovsk_kamchatskij/search/mts/?ll=158.656226,53.036678&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/78/petropavlovsk_kamchatskij/search/svyaznoy/?ll=158.656226,53.036678&rspn=1&spn=0.003,0.003']"
9,9,петропавловск_камчатский,52.982021,158.681005,78,Петропавловск-Камчатский,"['https://yandex.ru/maps/78/petropavlovsk_kamchatskij/search/DNS/?ll=158.681005,52.982021&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/78/petropavlovsk_kamchatskij/search/m_video/?ll=158.681005,52.982021&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/78/petropavlovsk_kamchatskij/search/megafon/?ll=158.681005,52.982021&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/78/petropavlovsk_kamchatskij/search/mts/?ll=158.681005,52.982021&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/78/petropavlovsk_kamchatskij/search/svyaznoy/?ll=158.681005,52.982021&rspn=1&spn=0.003,0.003']"
